IpwEpsGreedy,IpwBootTS,RandomAction,eps_greedy_policy,optimal_outcome_actions,PolicyScreeningEpsGreedy,non_dominated
176.70189064700318,179.4300901822116,78.8301792280748,11,231.05413149036667,98.0187409161631,[16]
176.99522218228662,76.39436324092443,155.4087422241576,39,233.92816571917353,182.28081097845165,"[0, 1, 2, 3, 5, 6, 8, 9, 11, 13, 15, 16, 17, 20, 21, 22, 23, 24, 26, 27, 29, 30, 33, 34, 35, 36, 37, 38, 40, 43, 44, 46, 47, 48, 49]"
258.32788849380336,155.06422902973895,103.36102755495776,3,203.8966483945256,103.32007761375063,"[0, 1, 3, 4, 5, 6, 8, 9, 11, 13, 14, 15, 16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 34, 36, 37, 38, 40, 42, 44, 46, 47, 48, 49]"
146.93862232350398,122.3334197700107,122.52168852308762,3,203.88897871826973,173.9878661994523,"[0, 1, 5, 6, 8, 9, 11, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 34, 35, 36, 37, 38, 40, 42, 44, 46, 47, 48, 49]"
149.77656551363467,157.7088085482621,106.01299130990276,18,182.5766665110989,155.39370051160543,"[0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]"
182.18922691297837,182.2829994484983,155.1189458838909,7,155.32934809493304,155.32934809493304,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49]"
149.88879261217423,174.4415375511189,127.78506569260587,23,258.58884851419475,258.40930341215017,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
174.04703879671908,130.47752781095596,155.1429141998446,3,258.4465828182473,130.48792927898333,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
206.841147666417,206.5901231585453,157.6864096623118,3,176.75441505339316,125.12449797696888,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
128.27056124030426,100.57667819792827,122.32372363731929,3,234.05898567534217,176.7979927041327,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
130.4862709035695,258.7934682060299,179.6793233241555,23,258.77697627065083,207.12962152992895,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
125.31995344501249,106.04439716887325,179.47635876050086,39,182.14214774408038,176.7065402592328,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
